Deep size	Num units	Learning rate	Accuracy	Tiempo de ejecución
6	26	0.0001	0.9656000137329102	42.42552161216736
9	16	0.05	0.9656000137329102	23.520304441452026
7	5	0.0005	0.9656000137329102	18.63060712814331
4	4	0.005	0.9656000137329102	16.672424793243408
3	6	0.0005	0.9656000137329102	15.245659112930298
2	16	0.0005	0.9656000137329102	15.083093404769897
4	4	0.001	0.965499997138977	21.78838062286377
4	16	0.01	0.965499997138977	12.010095119476318
9	68	0.01	0.965399980545044	43.191566705703735
8	5	0.01	0.965399980545044	17.135868549346924
7	4	0.005	0.965399980545044	11.695358753204346
6	68	5e-05	0.9653000235557556	42.30850791931152
8	42	0.0001	0.9653000235557556	26.96820878982544
8	10	0.001	0.9653000235557556	22.014565467834473
3	31	0.0001	0.9653000235557556	21.71791958808899
5	31	0.05	0.9653000235557556	18.273271083831787
4	3	0.05	0.9653000235557556	13.116362571716309
2	3	0.05	0.9653000235557556	11.399622678756714
4	13	0.001	0.9652000069618225	21.721765518188477
4	10	0.0005	0.9652000069618225	17.63287854194641
3	6	0.005	0.9652000069618225	11.454167366027832
2	21	0.05	0.9652000069618225	9.295605897903442
5	89	0.005	0.9650999903678894	33.41482162475586
5	55	5e-05	0.9650999903678894	23.998851537704468
8	4	0.01	0.9650999903678894	18.747080326080322
5	21	0.0001	0.9649999737739563	22.576855182647705
6	6	0.05	0.9649999737739563	22.471269845962524
5	21	0.05	0.9649999737739563	19.282575607299805
7	42	5e-05	0.964900016784668	42.365705728530884
5	42	5e-05	0.964900016784668	42.317323207855225
9	31	0.0005	0.964900016784668	26.776994943618774
6	31	0.0001	0.964900016784668	21.903635025024414
3	5	0.001	0.964900016784668	15.676432847976685
9	31	0.01	0.9648000001907349	43.13513398170471
8	26	0.001	0.9648000001907349	43.08523941040039
3	89	5e-05	0.9648000001907349	42.16205358505249
3	10	0.05	0.9648000001907349	16.749131679534912
8	42	0.0005	0.9646999835968018	27.807032823562622
3	42	0.0001	0.9646999835968018	18.977600574493408
7	31	0.01	0.9646999835968018	13.719587564468384
4	6	0.005	0.9646000266075134	21.668298721313477
7	5	0.01	0.9646000266075134	20.932735443115234
5	13	0.05	0.9646000266075134	18.58052659034729
2	13	0.0005	0.9646000266075134	16.305697202682495
4	6	0.0005	0.9646000266075134	15.99317193031311
5	68	0.01	0.9645000100135803	42.272059202194214
6	42	0.01	0.9645000100135803	24.374457836151123
8	16	0.0001	0.9645000100135803	19.115610599517822
8	55	0.01	0.9645000100135803	15.898629903793335
8	10	0.005	0.9645000100135803	12.06240439414978
7	55	0.001	0.9643999934196472	28.129805326461792
6	5	0.005	0.9643999934196472	22.520090341567993
2	68	0.0001	0.9643999934196472	19.513285875320435
3	21	0.01	0.9643999934196472	17.37896156311035
6	4	0.001	0.9643999934196472	17.248734951019287
7	26	0.0001	0.9642999768257141	42.37024688720703
6	55	5e-05	0.9642999768257141	26.46263313293457
4	16	0.0001	0.9642999768257141	21.74200749397278
3	31	0.05	0.9642999768257141	21.626569509506226
9	16	0.005	0.9642999768257141	21.171517848968506
9	6	0.01	0.9642999768257141	15.664313793182373
3	4	0.05	0.9642999768257141	15.196704626083374
8	13	0.005	0.9642000198364258	21.956029653549194
4	6	0.05	0.9642000198364258	21.65609836578369
2	6	0.0005	0.9642000198364258	14.871653318405151
9	13	0.005	0.9642000198364258	12.699475526809692
4	26	0.05	0.9642000198364258	12.041257381439209
9	4	0.0005	0.9641000032424927	22.737039804458618
7	5	0.001	0.9641000032424927	22.586161136627197
4	31	0.0001	0.9641000032424927	21.71683168411255
2	55	0.0001	0.9641000032424927	21.509373664855957
3	3	0.01	0.9641000032424927	15.544495344161987
9	21	0.0001	0.9639999866485596	31.248733520507812
9	42	5e-05	0.9639999866485596	29.00624942779541
4	10	0.05	0.9639999866485596	21.636807441711426
9	31	0.0001	0.9639000296592712	27.979777336120605
2	4	0.0005	0.9639000296592712	15.295472860336304
9	26	5e-05	0.9638000130653381	26.51637840270996
4	68	5e-05	0.9638000130653381	23.489691257476807
6	8	0.0005	0.9638000130653381	21.848099946975708
5	26	0.0001	0.9638000130653381	20.06424307823181
6	13	0.0001	0.9638000130653381	19.83226704597473
5	16	0.1	0.963699996471405	23.10537028312683
4	5	0.05	0.963699996471405	21.757595539093018
4	21	0.0001	0.963699996471405	21.740824222564697
9	4	0.001	0.963699996471405	19.040325164794922
2	5	0.05	0.963699996471405	11.18965196609497
5	10	0.01	0.9635999798774719	43.098920583724976
6	4	0.05	0.9635999798774719	22.532611846923828
5	2	0.005	0.9635999798774719	22.286084413528442
2	42	0.0001	0.9635999798774719	21.66288471221924
4	26	0.001	0.9635999798774719	21.654022693634033
8	26	5e-05	0.9635000228881836	43.13020443916321
9	55	0.005	0.9634000062942505	32.116840839385986
8	3	0.01	0.9634000062942505	22.5670485496521
3	6	0.05	0.9634000062942505	21.60462498664856
3	5	0.1	0.9634000062942505	18.44663906097412
2	10	0.01	0.9634000062942505	16.27018451690674
2	42	0.05	0.9634000062942505	14.20447850227356
4	26	0.0001	0.9632999897003174	21.799314975738525
8	10	0.0001	0.9632999897003174	20.7467143535614
4	3	0.005	0.9632999897003174	16.288790702819824
3	3	0.05	0.9632999897003174	13.712296485900879
6	26	0.05	0.9631999731063843	13.43683648109436
6	5	0.01	0.963100016117096	21.7842698097229
4	55	5e-05	0.9628999829292297	42.13995575904846
3	4	0.1	0.9628999829292297	21.691953659057617
7	4	0.01	0.9628999829292297	17.37562608718872
8	42	5e-05	0.9628000259399414	27.432055711746216
2	3	0.01	0.9628000259399414	21.66501498222351
3	4	0.005	0.9628000259399414	21.58023762702942
3	5	0.05	0.9628000259399414	13.093486547470093
7	89	0.0005	0.9627000093460083	42.99427676200867
3	6	0.1	0.9627000093460083	21.562700271606445
6	21	0.0001	0.9627000093460083	20.673689603805542
9	31	5e-05	0.9625999927520752	42.973679065704346
5	6	0.05	0.9625999927520752	21.69135594367981
6	13	0.005	0.9625999927520752	19.825536727905273
3	31	0.01	0.9625999927520752	18.01875901222229
6	3	0.005	0.9625999927520752	17.65226984024048
4	4	0.0005	0.9625999927520752	15.433959245681763
9	16	0.01	0.9624999761581421	22.675684452056885
7	8	0.1	0.9624999761581421	22.569685220718384
2	13	0.05	0.9624999761581421	21.46634030342102
2	16	0.05	0.9624999761581421	21.458953857421875
6	8	0.05	0.9624999761581421	16.849398136138916
4	55	0.05	0.9624999761581421	16.09731650352478
3	5	0.0005	0.9624999761581421	16.008864641189575
3	2	0.005	0.9624999761581421	15.118648529052734
4	16	0.05	0.9624999761581421	14.279704570770264
9	13	0.05	0.9624000191688538	43.13518214225769
8	13	5e-05	0.9624000191688538	21.294230461120605
3	55	5e-05	0.9624000191688538	20.265642404556274
6	5	0.0005	0.9624000191688538	17.139745235443115
2	5	0.1	0.9624000191688538	15.020590543746948
2	8	0.1	0.9624000191688538	11.385508298873901
9	55	0.0005	0.9623000025749207	42.623981952667236
5	5	0.0005	0.9623000025749207	16.294379472732544
2	2	0.05	0.9623000025749207	14.225275039672852
5	55	0.01	0.9621999859809875	42.828566551208496
9	3	0.0005	0.9621999859809875	22.04527974128723
3	68	5e-05	0.9621999859809875	21.57721471786499
6	4	0.0005	0.9621999859809875	16.89930248260498
5	6	0.0005	0.9621999859809875	16.129817485809326
9	5	0.0005	0.9621000289916992	42.789631605148315
6	5	0.05	0.9621000289916992	16.933051347732544
5	3	0.0005	0.9620000123977661	22.514955520629883
